Trio of Chicken,Rs 325,A tandoori six-pc sampler of our signature kababs namely Murgh Malai Murgh Lahsuni & Murgh Tikka
Murgh Tandoori,Rs 225 / Rs 425,
Murgh Tikka,Rs 265,
Murgh Lahsuni,Rs 265,
Murgh Kalmi ,Rs 175 / Rs 325,
Murgh Malai Kabab ,Rs 275,
Murgh Seekh Kabab ,Rs 175 / Rs 325,
Mutton Seekh Kabab,Rs 195 / Rs 340,
Burrah Kabab,Rs 195 / Rs 340,
Tangri Kabab ,Rs 175 / Rs 325,
Achari Chicken Tikka,Rs 265,Chicken tikka with a tangy achari flavor
Smoked Chicken Tikka,Rs 290,
Reshmi Kabab,Rs 290,Chunks of malai tikka in an egg blanket
Patthar- Ke- Kabab,Rs 375,Mutton flattened and served on stone to your delight
Afghani Murgh,Rs 175 / Rs 325,
Nawabi Seekh,Rs 365,Mutton seekh garnished with rich rogan gravy. Had best with a rumali
Trio of Veg,Rs 275,Six piece sampler of our signature kababs namely Paneer Tikka Veg Seekh Kabab & Khasta Kabab OR Paneer Tikka Veg Seekh Kabab & Dahi Kabab OR Paneer Tikka Veg Seekh Kabab & Hara Bhara Kabab
Paneer Tikka ,Rs 220,
Tandoori  Aloo,Rs 190,
Veg Khasta Kabab,Rs 190,
Veg Seekh Kabab,Rs 190,
Dahi Kabab,Rs 190,
Hara Bhara Kabab,Rs 190,
Achari Paneer Tikka,Rs 220,
Mawa Veg Seekh Kabab,Rs 200,
Soya Kabab,Rs 190,